categories_id;parent_id;categories_level;categories_name
3;19;2;Urban Dance
4;0;1;Mister Tee
6;366;3;Kids
17;427;2;Shoes
19;0;1;Sale
21;900;3;T-Shirts
22;900;3;Tanktops
24;900;3;Vests
25;900;3;Winter Jackets
26;900;3;Light Jackets
27;900;3;College Jackets
28;900;3;Pants
29;900;3;Sweatpants
30;900;3;Shorts
32;900;3;Hoodies
33;900;3;Zip Hoodies
34;900;3;Shirts
37;901;3;Vests
39;901;3;College Jackets
40;901;3;Sweatpants
42;901;3;Jumpsuits
43;901;3;Hoodies
44;901;3;Zip Hoodies
45;901;3;Shirts
46;902;3;Belts
49;902;3;Headwear
50;902;3;Underwear/Socks
51;902;3;Bags
52;903;2;Flexfit
53;903;2;210 Fitted
54;903;2;Snapback
55;903;2;110
56;903;2;Jockey
58;903;2;Wow Caps
59;903;2;Yupoong Beanies
61;903;2;Bucket Hat
62;238;4;T-Shirts
63;238;4;Crewnecks
64;238;4;Hoodies
65;238;4;Tanktops
66;77;3;Regular
67;4;2;Accessories
68;901;3;Leggings
70;901;3;Pants
72;903;2;Mister Tee
73;0;1;Pos-Material
77;4;2;Caps & Beanies
80;206;3;Men
81;206;3;Ladies
83;903;2;Delta
84;903;2;Trucker
85;244;4;T-Shirts
86;244;4;Crewnecks
87;244;4;Hoodies
89;77;3;X Artists
90;900;3;Tall Tees
91;900;3;Long Tees
92;900;3;Loose Tanks
93;900;3;Longsleeves
94;900;3;Crewnecks
95;900;3;Windbreaker
96;900;3;Bomber Jackets
97;900;3;Cargo Pants & Shorts
98;900;3;Mesh Shorts
99;900;3;Jumpsuits & Suits
100;902;3;Gloves & Scarves
101;901;3;T-Shirts
102;901;3;Cropped Tees
103;901;3;Tops & Tanks
104;901;3;Loose Tanks
105;901;3;Bandeaus
106;901;3;Sport Bras
107;901;3;Sweater & Cardigans
108;901;3;Dresses & Skirts
109;901;3;Crewnecks & Longsleeves
110;901;3;Light Jackets
111;901;3;Bomber Jackets
112;901;3;Winter Jackets
113;901;3;Shorts
116;0;1;Coming Soon
118;238;4;Jackets
128;72;3;X Artists
129;72;3;Dope Stuff
131;206;3;Accessories
132;72;3;Regular
133;900;3;Cardigans
134;903;2;Accessories
137;161;3;T-Shirts
138;161;3;Hoodies
139;161;3;Crewnecks
140;908;2;Caps & Beanies
141;161;3;Tanktops
142;161;3;Pants & Shorts
143;908;2;Accessories
146;0;1;Mstrds
147;0;1;Tubelaces
148;146;2;Caps & Beanies
149;146;2;Sunglasses
150;146;2;Accessories
151;146;2;Displays
152;147;2;Laces
153;147;2;Displays
154;0;1;Wu-Wear
155;903;2;Merchcode
156;162;3;Tanktops
157;162;3;T-Shirts
158;162;3;Crewnecks
159;162;3;Hoodies
161;908;2;Men
162;908;2;Ladies
171;903;2;Dad Caps
175;0;1;Famous
180;427;2;Athleisure
185;0;1;Rammstein
186;0;1;Men
187;0;1;Ladies
188;0;1;Accessoires
189;0;1;New!
190;0;1;Sale!
195;202;3;T-Shirts
196;202;3;Hoodies
198;175;2;Accessories
199;202;3;Crewnecks & Longsleeves
200;202;3;Tanks
202;175;2;Men
204;202;3;Jackets
205;161;3;Jackets
206;427;2;New Collection
207;900;3;Swimwear
208;901;3;Swimwear
211;900;3;Plus Size
212;901;3;Curvy
216;902;3;Sunglasses
217;902;3;Towels
218;902;3;Gadgets
221;162;3;Jackets
222;0;1;BYB Kids
223;238;4;Shorts
224;4;2;Kids
225;202;3;Sweatpants
226;238;4;Sweatpants
227;0;1;Flexfit Caps
233;19;2;Pusher
234;239;4;Dresses
237;0;1;Southpole
238;250;3;Regular
239;251;3;Regular
240;239;4;Tanktops
241;239;4;T-Shirts
242;239;4;Crewnecks
243;239;4;Hoodies
244;250;3;X Artists
245;251;3;X Artists
246;245;4;Tanktops
247;245;4;T-Shirts
248;19;2;Amk
249;19;2;Schlappos
250;4;2;Men
251;4;2;Ladies
253;902;3;Festival Stuff
254;227;2;new collection
255;227;2;Flexfit
256;227;2;Snapback
257;227;2;Dad Caps
258;227;2;110
259;227;2;210 Fitted
260;227;2;Trucker
261;227;2;BYB FF-Delta
262;227;2;Bucket Hat
263;227;2;Jockey
264;227;2;Beanies
265;227;2;ACCESSORIES
266;902;3;Jewelry
268;0;1;Brandit
270;162;3;Swimsuits
271;238;4;Swimwear
272;0;1;Starter
273;161;3;Swimwear
274;237;2;New Collection
275;237;2;Nos Collection
276;0;1;Cayler & Sons
277;276;2;T-Shirts
278;276;2;Crewnecks
279;276;2;Pants
280;276;2;Caps
281;276;2;Jackets
282;276;2;Hoodies
283;276;2;Accessoires
284;276;2;Windbreaker
285;276;2;Mesh Shorts
286;276;2;Shorts
287;276;2;Sweatpants
291;276;2;Tanktops
293;276;2;Longsleeves
294;276;2;Shirts
296;245;4;Hoodies
297;75;2;T-Shirt
298;75;2;Tanktops
299;75;2;Hoodies
300;75;2;BYB-Crewnecks
301;75;2;BYB-Zip Hoodies
302;75;2;BYB-Shirts
303;75;2;BYB-Vests
304;75;2;BYB-Windbreaker
305;75;2;BYB-College Jacket
306;75;2;BYB-Bomber Jackets
307;75;2;BYB-Underwear
308;75;2;BYB-Light Jackets
309;75;2;Shorts
310;75;2;BYB-Zip Cardigan
311;75;2;Pants
