manufacturers_id;manufacturers_name
1;MT Men
2;Urban Classics
3;Urban Dance
5;Flexfit
7;Urban Classics Kids
8;UC Ladies
9;UC Men
13;Build Your Brand
15;Urban Classics Shoes
17;Merchcode
19;Urban Classics Accessoires
20;MSTRDS
21;TUBELACES
23;Wu-Wear
24;Thug Life
25;Hands of Gold
28;Turn Up
29;Famous
30;Rammstein
33;Urban Classics Plus Size
34;Build Your Brand Plus Size
35;MT Ladies
36;Merchcode Ladies
37;UC Curvy
38;Build Your Brand Curvy
39;Illmatic
40;Pink Dolphin
41;MT Accessoires
42;Merchcode Accessoires
43;Build your Brand Kids
44;MT Kids
45;AMK
46;Schlappos
47;Pusher Apparel
48;Southpole
49;Brandit
50;MT Men Special
51;MT Accessoires Special
52;Merchcode Men Special
53;Starter Black Label
56;Iconist
58;CS
60;Cayler & Sons
61;BYBrandit
